table_type,table_name
BASE TABLE,POSPermanentMessages
BASE TABLE,PUBLISHED_INTERFACES
BASE TABLE,PaymentDeposite
BASE TABLE,PaymentMethodMonitoring
BASE TABLE,PaymentMethodMonitoring1
BASE TABLE,PaymentMonitoring905
BASE TABLE,PaymentTerms
BASE TABLE,PaymentType
BASE TABLE,PaymentsToSuppliers
BASE TABLE,PersonalActionLog
BASE TABLE,PosCalculatorClosing
BASE TABLE,PosDocHeaders
BASE TABLE,PosStatement
BASE TABLE,PosStatmentsLines
BASE TABLE,PositionStatusTime
BASE TABLE,PostalTypes
BASE TABLE,PraxelTbls
BASE TABLE,PraxellTablesCode
BASE TABLE,Praxell_Log
BASE TABLE,PrePaidCardsCampaign
BASE TABLE,Pre_PaidCardsAssign
BASE TABLE,Pre_Paid_Prefixes
BASE TABLE,Pre_Paid_Prefixes1
BASE TABLE,Pre_Paid_Prefixes2
BASE TABLE,PreparationInstructions
BASE TABLE,PriceChangeDetection
BASE TABLE,PriceLists
BASE TABLE,PricesChangeApproval
BASE TABLE,PricesChanges
BASE TABLE,PricingProfitAndVat
BASE TABLE,PrinterConfigurationTable
BASE TABLE,PrinterCustomCommands
BASE TABLE,PrinterSettingsControl
BASE TABLE,ProductionOpticOrderChangeCause
BASE TABLE,ProductsSettings_optic
BASE TABLE,ProgramsList
BASE TABLE,ProgramsList1
BASE TABLE,PromisedToCustomer
BASE TABLE,ProtoTypeMenus
BASE TABLE,PublishedCoupons_tmp
BASE TABLE,QaStatus
BASE TABLE,RFIDActivityLog
BASE TABLE,RFIDDocumentsLines
BASE TABLE,RFIDInventoryLog
BASE TABLE,RFIDTempDocumentsLines
BASE TABLE,RMSReceiptLinesHold
BASE TABLE,RMSTransaction
BASE TABLE,ReceiptLines
BASE TABLE,ReceiptLines_continue
BASE TABLE,ReceiptPrintRecover
BASE TABLE,ReceiptTitle_continue
BASE TABLE,Receipts
BASE TABLE,ReferemceValidationAlerts
BASE TABLE,RefundMethods
BASE TABLE,RefundOriginalTendersAmountItems
BASE TABLE,ReleaseVersion
BASE TABLE,RentTypes
BASE TABLE,ReportsProcessingFile
BASE TABLE,ReportsProcessingFile_216BTRV
BASE TABLE,Reports_tmp
BASE TABLE,RequestReferenceFromTaxAuthority
BASE TABLE,RestCanceledItemsLog
BASE TABLE,RestaurantControl
BASE TABLE,RestaurantItems_continue
BASE TABLE,RestaurantLayouts
BASE TABLE,ReturnSerialRecovery
BASE TABLE,Reward
BASE TABLE,Rulers
BASE TABLE,SLAVE_PraxellTransactionsTable
BASE TABLE,SafeCashTransactions
BASE TABLE,SafeCasheTransactionsForFutureCare
BASE TABLE,SaleItems
BASE TABLE,SaleItems_local
BASE TABLE,SalesAgreementsComments_tmp
BASE TABLE,SalesAmountsSlicing
BASE TABLE,SaveNoLaundry
BASE TABLE,SelectedToppings
BASE TABLE,SerialItemLiminalStock
BASE TABLE,SerialItemsRecord
BASE TABLE,SerialLines_customerCreditCard
BASE TABLE,ServiceCallDocuments
BASE TABLE,ServiceCallInfo
BASE TABLE,ServiceCalls
BASE TABLE,ServiceDiscountCause
BASE TABLE,ServiceDocType
BASE TABLE,ServiceDocumentsLines
BASE TABLE,ServiceDocuments_headline
